state,seat_number,clinton_2016_pct,trump_2016_pct,obama_2012_pct,romney_2012_pct,obama_2008_pct,mccain_2008_pct
Alabama,1,0.341,0.635,0.374,0.618,0.385,0.609
Alabama,2,0.33,0.649,0.364,0.629,0.35,0.645
Alabama,3,0.323,0.653,0.368,0.623,0.366,0.626
Alabama,4,0.174,0.804,0.24,0.748,0.255,0.733
Alabama,5,0.313,0.647,0.349,0.639,0.363,0.626
Alabama,6,0.261,0.708,0.247,0.743,0.25,0.741
Alabama,7,0.698,0.286,0.724,0.271,0.715,0.281
Alaska,1,0.376,0.528,0.412,0.553,0.381,0.597
Arizona,1,0.466,0.477,0.479,0.504,0.478,0.51
Arizona,2,0.496,0.447,0.484,0.499,0.489,0.498
Arizona,3,0.624,0.325,0.614,0.369,0.582,0.407
Arizona,4,0.275,0.677,0.31,0.672,0.344,0.642
Arizona,5,0.365,0.576,0.346,0.638,0.363,0.626
Arizona,6,0.424,0.524,0.388,0.595,0.412,0.577
Arizona,7,0.718,0.226,0.717,0.265,0.647,0.341
Arizona,8,0.37,0.581,0.369,0.617,0.384,0.606
Arizona,9,0.547,0.384,0.511,0.466,0.513,0.474
Arkansas,1,0.302,0.65,0.363,0.61,0.392,0.58
Arkansas,2,0.417,0.524,0.429,0.547,0.443,0.538
Arkansas,3,0.305,0.619,0.316,0.655,0.339,0.637
Arkansas,4,0.313,0.642,0.359,0.618,0.374,0.599
California,1,0.365,0.562,0.403,0.566,0.42,0.53
California,2,0.69,0.233,0.69,0.27,0.71,0.25
California,3,0.53,0.404,0.543,0.431,0.55,0.42
California,4,0.393,0.54,0.395,0.579,0.43,0.54
California,5,0.692,0.243,0.697,0.275,0.7,0.26
California,6,0.692,0.244,0.691,0.283,0.68,0.29
California,7,0.523,0.409,0.508,0.468,0.51,0.46
California,8,0.396,0.547,0.417,0.556,0.42,0.55
California,9,0.566,0.38,0.578,0.401,0.56,0.41
California,10,0.485,0.455,0.506,0.47,0.5,0.47
California,11,0.715,0.227,0.676,0.3,0.69,0.28
California,12,0.862,0.087,0.841,0.125,0.84,0.13
California,13,0.874,0.068,0.875,0.09,0.87,0.1
California,14,0.769,0.182,0.742,0.236,0.73,0.24
California,15,0.699,0.242,0.68,0.298,0.67,0.3
California,16,0.58,0.364,0.586,0.394,0.57,0.4
California,17,0.739,0.205,0.719,0.255,0.69,0.28
California,18,0.734,0.202,0.682,0.289,0.7,0.27
California,19,0.729,0.215,0.712,0.265,0.68,0.29
California,20,0.704,0.232,0.709,0.262,0.71,0.26
California,21,0.552,0.397,0.546,0.435,0.52,0.46
California,22,0.426,0.521,0.416,0.566,0.42,0.55
California,23,0.361,0.581,0.361,0.615,0.36,0.61
California,24,0.567,0.365,0.541,0.431,0.56,0.41
California,25,0.503,0.436,0.479,0.497,0.49,0.48
California,26,0.579,0.36,0.54,0.437,0.56,0.41
California,27,0.66,0.284,0.626,0.35,0.61,0.35
California,28,0.721,0.223,0.703,0.265,0.7,0.26
California,29,0.777,0.168,0.77,0.205,0.74,0.23
California,30,0.691,0.257,0.653,0.321,0.66,0.31
California,31,0.577,0.366,0.572,0.406,0.56,0.41
California,32,0.666,0.277,0.652,0.325,0.62,0.35
California,33,0.678,0.265,0.606,0.368,0.64,0.33
California,34,0.836,0.107,0.83,0.141,0.77,0.19
