state,seat_name,incumbent_running,incumbent_elections_won,candidate_party,candidate_fullname,candidate_firstname,candidate_lastname
Alabama,Class II,DEM,1,DEM,Doug Jones,Doug,Jones
Alabama,Class II,DEM,1,REP,Tommy Tuberville,Tommy,Tuberville
Alaska,Class II,REP,1,DEM,,,
Alaska,Class II,REP,1,REP,Dan Sullivan,Dan,Sullivan
Alaska,Class II,REP,1,IND,Al Gross,Al,Gross
Arizona,Class III,REP,0,DEM,Mark Kelly,Mark,Kelly
Arizona,Class III,REP,0,REP,Martha McSally,Martha,McSally
Arkansas,Class II,REP,1,DEM,None,,
Arkansas,Class II,REP,1,REP,Tom Cotton,Tom,Cotton
Colorado,Class II,REP,1,DEM,John Hickenlooper,John,Hickenlooper
Colorado,Class II,REP,1,REP,Cory Gardner,Cory,Gardner
Delaware,Class II,DEM,2,DEM,Chris Coons,Chris,Coons
Delaware,Class II,DEM,2,REP,,,
Georgia,Class II,REP,1,DEM,Jon Ossoff,Jon,Ossoff
Georgia,Class II,REP,1,REP,David A. Perdue,David,Perdue
Georgia,Class III,REP,0,DEM,,,
Georgia,Class III,REP,0,REP,,,
Idaho,Class II,REP,2,DEM,Paulette Jordan,Paulette,Jordan
Idaho,Class II,REP,2,REP,Jim Risch,Jim,Risch
Illinois,Class II,DEM,4,DEM,Richard J. Durbin,Dick,Durbin
Illinois,Class II,DEM,4,REP,Mark Curran,Mark,Curran
Iowa,Class II,REP,1,DEM,Theresa Greenfield,Theresa,Greenfield
Iowa,Class II,REP,1,REP,Joni K. Ernst,Joni,Ernst
Kansas,Class II,None,4,DEM,Barbara Bollier,Barbara,Bollier
Kansas,Class II,None,4,REP,Kris W. Kobach,Kris,Kobach
Kentucky,Class II,REP,6,DEM,Amy McGrath,Amy,McGrath
Kentucky,Class II,REP,6,REP,Mitch McConnell,Mitch,McConnell
Louisiana,Class II,REP,1,DEM,Antoine Pierce,Antoine,Pierce
Louisiana,Class II,REP,1,REP,Bill Cassidy,Bill,Cassidy
Maine,Class II,REP,4,DEM,Sara Gideon,Sara,Gideon
Maine,Class II,REP,4,REP,Susan M. Collins,Susan,Collins
Massachusetts,Class II,DEM,1,DEM,,,
Massachusetts,Class II,DEM,1,REP,Shiva Ayyadurai,Shiva,Ayyadurai
Michigan,Class II,DEM,1,DEM,Gary C. Peters,Gary,Peters
Michigan,Class II,DEM,1,REP,John James,John,James
Minnesota,Class II,DEM,1,DEM,Tina Smith,Tina,Smith
Minnesota,Class II,DEM,1,REP,Jason Lewis,Jason,Lewis
Mississippi,Class II,REP,1,DEM,Mike Espy,Mike,Espy
Mississippi,Class II,REP,1,REP,Cindy Hyde-Smith,Cindy,Hyde-Smith
Montana,Class II,REP,1,DEM,Steve Bullock,Steve,Bullock
Montana,Class II,REP,1,REP,Steve Daines,Steve,Daines
Nebraska,Class II,REP,1,DEM,Chris Janicek,Chris,Janicek
Nebraska,Class II,REP,1,REP,Ben Sasse,Ben,Sasse
New Hampshire,Class II,DEM,2,DEM,Jeanne Shaheen,Jeanne,Shaheen
New Hampshire,Class II,DEM,2,REP,Don Bolduc,Don,Bolduc
New Jersey,Class II,DEM,2,DEM,Cory A. Booker,Cory,Booker
New Jersey,Class II,DEM,2,REP,Hirsh Singh,Hirsh,Singh
New Mexico,Class II,None,2,DEM,Ben Ray Luján,Ben Ray,Luján
New Mexico,Class II,None,2,REP,Gavin Clarkson,Gavin,Clarkson
North Carolina,Class II,REP,1,DEM,Cal Cunningham,Cal,Cunningham
North Carolina,Class II,REP,1,REP,Thom Tillis,Thom,Tillis
Oklahoma,Class II,REP,5,DEM,Abby Broyles,Abby,Broyles
Oklahoma,Class II,REP,5,REP,James M. Inhofe,Jim,Inhofe
Oregon,Class II,DEM,2,DEM,Jeff Merkley,Jeff,Merkley
Oregon,Class II,DEM,2,REP,Jo Rae Perkins,Jo Rae,Perkins
Rhode Island,Class II,DEM,4,DEM,Jack Reed,Jack,Reed
Rhode Island,Class II,DEM,4,REP,Allen Waters,Allen,Waters
South Carolina,Class II,REP,3,DEM,Jaime Harrison,Jaime,Harrison
South Carolina,Class II,REP,3,REP,Lindsey Graham,Lindsey,Graham
South Dakota,Class II,REP,1,DEM,Dan Ahlers,Dan,Ahlers
South Dakota,Class II,REP,1,REP,Mike Rounds,Mike,Rounds
Tennessee,Class II,None,3,DEM,James Mackler,James,Mackler
Tennessee,Class II,None,3,REP,Bill Hagerty,Bill,Hagerty
Texas,Class II,REP,3,DEM,Mary Jennings Hegar,MJ,Hegar
Texas,Class II,REP,3,REP,John Cornyn,John,Cornyn
Virginia,Class II,DEM,2,DEM,Mark Warner,Mark,Warner
Virginia,Class II,DEM,2,REP,Daniel Gade,Daniel,Gade
West Virginia,Class II,REP,1,DEM,Richard Ojeda,Richard,Ojeda
West Virginia,Class II,REP,1,REP,Shelley Moore Capito,Shelley,Moore Capito
Wyoming,Class II,None,4,DEM,,,
Wyoming,Class II,None,4,REP,Cynthia Lummis,Cynthia,Lummis
